node: 1; soudures: 1
node: 2; soudures: 3
node: 3; soudures: 2
node: 4; soudures: 2
node: 5; soudures: 3
node: 6; soudures: 3
node: 7; soudures: 1
node: 8; soudures: 3
node: 9; soudures: 2
node: 10; soudures: 1
node: 11; soudures: 2
node: 12; soudures: 3
node: 13; soudures: 2
node: 14; soudures: 1
node: 15; soudures: 2
node: 16; soudures: 2
node: 17; soudures: 1
